File,Line,Category,Type,TODO Text,Context
packages/tta-dev-primitives/README.md,5,other,md,"**Note**: These are development tools for building TTA, not player-facing game components.","Production-ready development primitives for building TTA agents and workflows. This package provides composable patterns, recovery strategies, performance utilities, and observability tools for development automation. |  | **Note**: These are development tools for building TTA, not player-facing game components. |  | ## Features"
packages/tta-dev-primitives/apm.yml,11,config,yml,"NOTE: This is for development tooling, not player-facing game components.","  utilities, and observability tools for development automation. |    |   NOTE: This is for development tooling, not player-facing game components. |  | author: TTA Development Team"
packages/tta-dev-primitives/CURSOR_AGENT.md,32,other,md,"- Never print code blocks with ""TODO"" or placeholder comments"," | ### For Code Changes | - Never print code blocks with ""TODO"" or placeholder comments | - Use edit tools instead of showing full file dumps | - Reference specific line numbers when discussing existing code"
packages/tta-dev-primitives/CURSOR_AGENT.md,199,other,md,# TODO: Add tests later,"❌ **BAD**: | ```python | # TODO: Add tests later | class NewFeature(WorkflowPrimitive[dict, dict]): |     ..."
packages/tta-dev-primitives/CLINE_AGENT.md,32,other,md,"- Never print code blocks with ""TODO"" or placeholder comments"," | ### For Code Changes | - Never print code blocks with ""TODO"" or placeholder comments | - Use edit tools instead of showing full file dumps | - Reference specific line numbers when discussing existing code"
packages/tta-dev-primitives/CLINE_AGENT.md,199,other,md,# TODO: Add tests later,"❌ **BAD**: | ```python | # TODO: Add tests later | class NewFeature(WorkflowPrimitive[dict, dict]): |     ..."
packages/tta-dev-primitives/AUGMENT_AGENT.md,32,other,md,"- Never print code blocks with ""TODO"" or placeholder comments"," | ### For Code Changes | - Never print code blocks with ""TODO"" or placeholder comments | - Use edit tools instead of showing full file dumps | - Reference specific line numbers when discussing existing code"
packages/tta-dev-primitives/AUGMENT_AGENT.md,199,other,md,# TODO: Add tests later,"❌ **BAD**: | ```python | # TODO: Add tests later | class NewFeature(WorkflowPrimitive[dict, dict]): |     ..."
packages/tta-dev-primitives/AGENTS.md,32,other,md,"- Never print code blocks with ""TODO"" or placeholder comments"," | ### For Code Changes | - Never print code blocks with ""TODO"" or placeholder comments | - Use edit tools instead of showing full file dumps | - Reference specific line numbers when discussing existing code"
packages/tta-dev-primitives/AGENTS.md,199,other,md,# TODO: Add tests later,"❌ **BAD**: | ```python | # TODO: Add tests later | class NewFeature(WorkflowPrimitive[dict, dict]): |     ..."
packages/tta-dev-primitives/IMPROVEMENTS_QUICK_START.md,378,other,md,"logger.debug(""cache_expired"", key=cache_key, age=age)","                return result |             else: |                 logger.debug(""cache_expired"", key=cache_key, age=age) |                 del self._cache[cache_key] | "
packages/tta-dev-primitives/IMPROVEMENTS_QUICK_START.md,386,other,md,"logger.debug(""cache_store"", key=cache_key, cache_size=len(self._cache))"," |         self._cache[cache_key] = (result, time.time()) |         logger.debug(""cache_store"", key=cache_key, cache_size=len(self._cache)) |  |         return result"
packages/tta-dev-primitives/.cline/rules/documentation.instructions.md,225,other,md,- Bug fix Z with brief description, | ### Fixed | - Bug fix Z with brief description |  | ## [0.2.0] - 2025-10-28
packages/tta-dev-primitives/examples/e2b_iterative_code_refinement.py,9,non-actionable,py,- Logic bugs,- Syntax errors | - Import errors | - Logic bugs | - Edge cases not handled | 
packages/tta-dev-primitives/examples/PR_REVIEW_GUIDE.md,342,non-actionable,md,**Debug:**,"### Issue: ""Quality validation fails"" |  | **Debug:** | ```python | # Enable debug logging"
packages/tta-dev-primitives/examples/PR_REVIEW_GUIDE.md,344,non-actionable,md,# Enable debug logging,**Debug:** | ```python | # Enable debug logging | import logging | logging.basicConfig(level=logging.DEBUG)
packages/tta-dev-primitives/examples/PR_REVIEW_GUIDE.md,346,non-actionable,md,logging.basicConfig(level=logging.DEBUG),# Enable debug logging | import logging | logging.basicConfig(level=logging.DEBUG) |  | # Run workflow
packages/tta-dev-primitives/examples/e2b_advanced_iterative_refinement.py,172,non-actionable,py,"print(""💭 Fixed previous issue, but might have logic bug..."")","            # Second attempt: Fix previous error but introduce new one |             print(f""📝 Learning from error: {previous_errors}"") |             print(""💭 Fixed previous issue, but might have logic bug..."") |             code = """""" | # Calculate fibonacci sequence (fixed imports)"
packages/tta-dev-primitives/examples/EXAMPLES_API_DRIFT.md,56,non-actionable,md,See GitHub issue: [TODO: Create issue],"## Tracking |  | See GitHub issue: [TODO: Create issue] |  | Last updated: November 5, 2025"
packages/tta-dev-primitives/examples/memory_workflow.py,74,non-actionable,py,"""assistant_response"": ""Why did the programmer quit? Too much debugging!"",","        ""timestamp"": datetime.now().isoformat(), |         ""user_message"": ""Tell me a joke"", |         ""assistant_response"": ""Why did the programmer quit? Too much debugging!"", |         ""intent"": ""entertainment"", |     }"
packages/tta-dev-primitives/examples/memory_workflow.py,131,non-actionable,py,"print(""⚠️  Note: In-memory mode does not persist across restarts"")"," |     # Demonstrate persistence (in-memory loses data on restart) |     print(""⚠️  Note: In-memory mode does not persist across restarts"") |     print(""   To add persistence, use Redis (optional):"") |     print(""   memory = MemoryPrimitive(redis_url='redis://localhost:6379')"")"
packages/tta-dev-primitives/examples/stage_kb_workflow.py,35,non-actionable,py,# Note: LogSeq MCP is only available in VS Code with MCP configured,"    print(""="" * 70) |  |     # Note: LogSeq MCP is only available in VS Code with MCP configured |     # This example shows graceful degradation when unavailable |     kb = KnowledgeBasePrimitive(logseq_available=False)"
packages/tta-dev-primitives/examples/stage_kb_workflow.py,100,non-actionable,py,"print(""   Note: When LogSeq MCP is available, results will include actual pages"")"," |     print(""\n✅ KB queries completed successfully"") |     print(""   Note: When LogSeq MCP is available, results will include actual pages"") |  | "
packages/tta-dev-primitives/examples/DOC_GENERATION_GUIDE.md,309,non-actionable,md,"""Security Notes"",","            ""Examples"", |             ""Performance Considerations"", |             ""Security Notes"", |             ""Best Practices"", |         ],"
packages/tta-dev-primitives/examples/DOC_GENERATION_GUIDE.md,367,non-actionable,md,**Debug:**,"### Issue: ""Missing Logseq properties"" |  | **Debug:** | ```python | # Check generated content"
packages/tta-dev-primitives/examples/orchestration_test_generation_with_e2b.py,139,non-actionable,py,"""    # TODO: Add actual test implementation"",","                    f""def test_{func_name}_basic():"", |                     f'    """"""Test {func_name} with basic input.""""""', |                     ""    # TODO: Add actual test implementation"", |                     f""    result = {func_name}()"", |                     ""    assert result is not None"","
packages/tta-dev-primitives/src/tta_dev_primitives/knowledge/knowledge_base.py,162,code,py,# TODO: Call LogSeq MCP search tool when available,"            search_tags.append(f""stage-{query.stage}"") |  |         # TODO: Call LogSeq MCP search tool when available |         # For now, return empty list (MCP integration in future PR) |         return []"
packages/tta-dev-primitives/src/tta_dev_primitives/knowledge/knowledge_base.py,184,code,py,# TODO: Call LogSeq MCP search tool,"            search_tags.append(f""stage-{query.stage}"") |  |         # TODO: Call LogSeq MCP search tool |         return [] | "
packages/tta-dev-primitives/src/tta_dev_primitives/knowledge/knowledge_base.py,199,code,py,"# TODO: Call LogSeq MCP search tool with tags [""examples"", query.topic]","            List of matching KB pages |         """""" |         # TODO: Call LogSeq MCP search tool with tags [""examples"", query.topic] |         return [] | "
packages/tta-dev-primitives/src/tta_dev_primitives/knowledge/knowledge_base.py,214,code,py,# TODO: Call LogSeq MCP get related pages tool,"            List of related KB pages |         """""" |         # TODO: Call LogSeq MCP get related pages tool |         return [] | "
packages/tta-dev-primitives/src/tta_dev_primitives/knowledge/knowledge_base.py,227,code,py,# TODO: Call LogSeq MCP search by tags tool,"            List of matching KB pages |         """""" |         # TODO: Call LogSeq MCP search by tags tool |         return [] | "
packages/tta-dev-primitives/src/tta_dev_primitives/adaptive/README.md,386,other,md,## Notes,{{query (and [[Strategies]] [[my_service]])}} |  | ## Notes |  | Learned during high-load production scenario.
packages/tta-dev-primitives/src/tta_dev_primitives/adaptive/README.md,496,other,md,Rich logging for debugging:,### Structured Logging |  | Rich logging for debugging: |  | ```python
