File,Line,Category,Type,TODO Text,Context
packages/tta-kb-automation/README.md,11,docs,md,"- **Automatic maintenance** - Links, TODOs, cross-refs stay up-to-date","- **Agent-first documentation** - Agents use these tools by default | - **Minimal context requirements** - KB provides synthetic session context | - **Automatic maintenance** - Links, TODOs, cross-refs stay up-to-date | - **Discoverable patterns** - Agents learn from KB, build better docs | "
packages/tta-kb-automation/README.md,43,docs,md,"ExtractTODOs,","    ScanCodebase, |     ParseDocstrings, |     ExtractTODOs, |     AnalyzeCodeStructure, | "
packages/tta-kb-automation/README.md,47,docs,md,"ClassifyTODO,"," |     # Intelligence |     ClassifyTODO, |     SuggestKBLinks, |     GenerateFlashcards,"
packages/tta-kb-automation/README.md,75,docs,md,### 2. Sync Code TODOs to Journal,``` |  | ### 2. Sync Code TODOs to Journal |  | ```python
packages/tta-kb-automation/README.md,78,docs,md,from tta_kb_automation import sync_code_todos, | ```python | from tta_kb_automation import sync_code_todos |  | # Scan codebase for # TODO: comments
packages/tta-kb-automation/README.md,80,docs,md,# Scan codebase for # TODO: comments,"from tta_kb_automation import sync_code_todos |  | # Scan codebase for # TODO: comments | todos = await sync_code_todos( |     paths=[""packages/tta-dev-primitives""],"
packages/tta-kb-automation/README.md,81,docs,md,todos = await sync_code_todos(," | # Scan codebase for # TODO: comments | todos = await sync_code_todos( |     paths=[""packages/tta-dev-primitives""], |     create_journal_entries=True"
packages/tta-kb-automation/README.md,87,docs,md,"print(f""Found {len(todos)} TODOs"")"," | # Output: Journal entries created with KB links | print(f""Found {len(todos)} TODOs"") | ``` | "
packages/tta-kb-automation/README.md,134,docs,md,"# Returns: KB pages, code files, tests, TODOs",") |  | # Returns: KB pages, code files, tests, TODOs | print(context.kb_pages)      # Relevant KB pages | print(context.code_files)    # Implementation files"
packages/tta-kb-automation/README.md,137,docs,md,print(context.todos)         # Related TODOs,print(context.kb_pages)      # Relevant KB pages | print(context.code_files)    # Implementation files | print(context.todos)         # Related TODOs | print(context.tests)         # Test files | ```
packages/tta-kb-automation/README.md,235,docs,md,### 2. TODO Sync,--- |  | ### 2. TODO Sync |  | **Bridges code comments and KB:**
packages/tta-kb-automation/README.md,238,docs,md,- Finds `# TODO:` in code, | **Bridges code comments and KB:** | - Finds `# TODO:` in code | - Creates journal entries | - Links to relevant KB pages
packages/tta-kb-automation/README.md,247,docs,md,uv run python -m tta_kb_automation sync-todos --path packages/,```bash | # Command line | uv run python -m tta_kb_automation sync-todos --path packages/ |  | # Python API
packages/tta-kb-automation/README.md,250,docs,md,from tta_kb_automation import TODOSync, | # Python API | from tta_kb_automation import TODOSync |  | sync = TODOSync()
packages/tta-kb-automation/README.md,252,docs,md,sync = TODOSync(),"from tta_kb_automation import TODOSync |  | sync = TODOSync() | todos = await sync.scan_and_create(paths=[""packages/""]) | ```"
packages/tta-kb-automation/README.md,253,docs,md,"todos = await sync.scan_and_create(paths=[""packages/""])"," | sync = TODOSync() | todos = await sync.scan_and_create(paths=[""packages/""]) | ``` | "
packages/tta-kb-automation/README.md,259,docs,md,## [[2025-11-03]] Auto-Generated TODOs, | ```markdown | ## [[2025-11-03]] Auto-Generated TODOs |  | - TODO Add timeout support to CachePrimitive #dev-todo
packages/tta-kb-automation/README.md,261,docs,md,- TODO Add timeout support to CachePrimitive #dev-todo,## [[2025-11-03]] Auto-Generated TODOs |  | - TODO Add timeout support to CachePrimitive #dev-todo |   type:: implementation |   priority:: medium
packages/tta-kb-automation/README.md,323,docs,md,- Connected TODOs,- Relevant KB pages | - Related code files | - Connected TODOs | - Test files | 
packages/tta-kb-automation/README.md,341,docs,md,print(context.related_todos)     # Connected work,print(context.kb_pages)          # Relevant pages | print(context.code_examples)     # Working code | print(context.related_todos)     # Connected work | print(context.test_patterns)     # Testing approaches | ```
packages/tta-kb-automation/README.md,406,docs,md,async def test_todo_sync_with_real_codebase():,"# Integration tests (explicit opt-in) | @pytest.mark.integration | async def test_todo_sync_with_real_codebase(): |     """"""Test TODO sync with actual Git repo."""""" |     sync = TODOSync()"
packages/tta-kb-automation/README.md,407,docs,md,"""""""Test TODO sync with actual Git repo.""""""","@pytest.mark.integration | async def test_todo_sync_with_real_codebase(): |     """"""Test TODO sync with actual Git repo."""""" |     sync = TODOSync() |     todos = await sync.scan_and_create(paths=[""packages/tta-dev-primitives""])"
packages/tta-kb-automation/README.md,408,docs,md,sync = TODOSync(),"async def test_todo_sync_with_real_codebase(): |     """"""Test TODO sync with actual Git repo."""""" |     sync = TODOSync() |     todos = await sync.scan_and_create(paths=[""packages/tta-dev-primitives""]) | "
packages/tta-kb-automation/README.md,409,docs,md,"todos = await sync.scan_and_create(paths=[""packages/tta-dev-primitives""])","    """"""Test TODO sync with actual Git repo."""""" |     sync = TODOSync() |     todos = await sync.scan_and_create(paths=[""packages/tta-dev-primitives""]) |  |     assert len(todos) > 0"
packages/tta-kb-automation/README.md,411,docs,md,assert len(todos) > 0,"    todos = await sync.scan_and_create(paths=[""packages/tta-dev-primitives""]) |  |     assert len(todos) > 0 |     # Verify journal entries created | ```"
packages/tta-kb-automation/README.md,485,docs,md,- ✅ Creating TODOs (sync with code),- ✅ Before committing (validate KB) | - ✅ Finding related work (cross-references) | - ✅ Creating TODOs (sync with code) |  | ### For Users
packages/tta-kb-automation/README.md,493,docs,md,- ✅ TODOs tracked automatically,- 📚 Always up-to-date documentation | - 🔗 No broken links | - ✅ TODOs tracked automatically | - 🎓 Learning materials generated | - 🤖 Agents maintain consistency
packages/tta-kb-automation/README.md,504,docs,md,- [x] TODO Sync,- [x] Package structure | - [x] Link Validator | - [x] TODO Sync | - [x] Basic testing | 
packages/tta-kb-automation/AGENTS.md,13,docs,md,"1. **Build context with minimal input** - Get relevant KB pages, code, TODOs automatically","**The KB automation package helps you:** |  | 1. **Build context with minimal input** - Get relevant KB pages, code, TODOs automatically | 2. **Document as you build** - Auto-generate KB pages, flashcards, cross-references | 3. **Maintain KB health** - Validate links, sync TODOs, find orphans"
packages/tta-kb-automation/AGENTS.md,15,docs,md,"3. **Maintain KB health** - Validate links, sync TODOs, find orphans","1. **Build context with minimal input** - Get relevant KB pages, code, TODOs automatically | 2. **Document as you build** - Auto-generate KB pages, flashcards, cross-references | 3. **Maintain KB health** - Validate links, sync TODOs, find orphans | 4. **Work efficiently** - Agents-first design, minimal context requirements | "
packages/tta-kb-automation/AGENTS.md,26,docs,md,**When:** Beginning work on a feature/bug/documentation,### 1. Starting a Session (Build Synthetic Context) |  | **When:** Beginning work on a feature/bug/documentation |  | **What:** Build context from minimal input
packages/tta-kb-automation/AGENTS.md,45,docs,md,print(context.todos)         # Related TODOs from journal,"print(context.kb_pages)      # [[TTA Primitives/CachePrimitive]], related pages | print(context.code_files)    # cache.py, base primitives | print(context.todos)         # Related TODOs from journal | print(context.tests)         # Existing test files | print(context.summary)       # High-level overview"
packages/tta-kb-automation/AGENTS.md,106,docs,md,"**Output:** Confidence that KB links work, TODOs are synced, orphans addressed.","``` |  | **Output:** Confidence that KB links work, TODOs are synced, orphans addressed. |  | ---"
packages/tta-kb-automation/AGENTS.md,145,docs,md,### TODO Sync,--- |  | ### TODO Sync |  | **Purpose:** Bridge code comments and KB
packages/tta-kb-automation/AGENTS.md,150,docs,md,- After adding # TODO: comments in code, | **When to use:** | - After adding # TODO: comments in code | - Daily/weekly to keep journal updated | - Finding work items across codebase
packages/tta-kb-automation/AGENTS.md,157,docs,md,from tta_kb_automation import TODOSync, | ```python | from tta_kb_automation import TODOSync |  | sync = TODOSync()
packages/tta-kb-automation/AGENTS.md,159,docs,md,sync = TODOSync(),"from tta_kb_automation import TODOSync |  | sync = TODOSync() | todos = await sync.scan_and_create( |     paths=[""packages/tta-dev-primitives""],"
packages/tta-kb-automation/AGENTS.md,160,docs,md,todos = await sync.scan_and_create(," | sync = TODOSync() | todos = await sync.scan_and_create( |     paths=[""packages/tta-dev-primitives""], |     create_journal_entries=True"
packages/tta-kb-automation/AGENTS.md,165,docs,md,"print(f""Found {len(todos)} TODOs"")",") |  | print(f""Found {len(todos)} TODOs"") | print(f""Created {todos.created_count} journal entries"") | ```"
packages/tta-kb-automation/AGENTS.md,166,docs,md,"print(f""Created {todos.created_count} journal entries"")"," | print(f""Found {len(todos)} TODOs"") | print(f""Created {todos.created_count} journal entries"") | ``` | "
packages/tta-kb-automation/AGENTS.md,170,docs,md,- Scans Python files for `# TODO:` comments, | **What it does:** | - Scans Python files for `# TODO:` comments | - Creates journal entries with proper tags | - Links to relevant KB pages
packages/tta-kb-automation/AGENTS.md,237,docs,md,print(context.related_todos)   # Connected work items,print(context.kb_pages)        # Relevant KB pages | print(context.code_examples)   # Working code patterns | print(context.related_todos)   # Connected work items | print(context.test_patterns)   # How to test this | ```
packages/tta-kb-automation/AGENTS.md,244,docs,md,- ✅ No manual TODO hunting,- ✅ No manual KB searching | - ✅ No manual code browsing | - ✅ No manual TODO hunting | - ✅ Start working immediately | 
packages/tta-kb-automation/AGENTS.md,509,docs,md,- ✅ Syncing TODOs (code → journal),- ✅ Before committing (validate KB) | - ✅ Finding related work (cross-refs) | - ✅ Syncing TODOs (code → journal) |  | **NO if:**
packages/tta-kb-automation/AGENTS.md,529,docs,md,Adding TODOs in code?,  └─> LinkValidator |  | Adding TODOs in code? |   └─> TODOSync | 
packages/tta-kb-automation/AGENTS.md,530,docs,md,└─> TODOSync, | Adding TODOs in code? |   └─> TODOSync |  | Before commit?
packages/tta-kb-automation/pyproject.toml,102,other,toml,"""B"",  # flake8-bugbear","    ""F"",  # pyflakes |     ""I"",  # isort |     ""B"",  # flake8-bugbear |     ""C4"", # flake8-comprehensions |     ""UP"", # pyupgrade"
packages/keploy-framework/STATUS.md,77,docs,md,4. Add note about future consideration,2. Update all documentation references | 3. Remove from AGENTS.md package list | 4. Add note about future consideration |  | **Rationale:**
packages/keploy-framework/STATUS.md,128,docs,md,| Date | Decision | By | Notes |,## Decision Log |  | | Date | Decision | By | Notes | | |------|----------|-----|-------| | | 2025-10-31 | Under Review | Audit | Identified as incomplete during repository audit |
packages/js-dev-primitives/STATUS.md,203,docs,md,| Date | Decision | By | Notes |,## Decision Log |  | | Date | Decision | By | Notes | | |------|----------|-----|-------| | | 2025-10-31 | Under Review | Audit | Identified as placeholder during repository audit |
packages/tta-dev-primitives/README.md,5,docs,md,"**Note**: These are development tools for building TTA, not player-facing game components.","Production-ready development primitives for building TTA agents and workflows. This package provides composable patterns, recovery strategies, performance utilities, and observability tools for development automation. |  | **Note**: These are development tools for building TTA, not player-facing game components. |  | ## Features"
packages/tta-dev-primitives/apm.yml,11,config,yml,"NOTE: This is for development tooling, not player-facing game components.","  utilities, and observability tools for development automation. |    |   NOTE: This is for development tooling, not player-facing game components. |  | author: TTA Development Team"
packages/tta-dev-primitives/CURSOR_AGENT.md,32,docs,md,"- Never print code blocks with ""TODO"" or placeholder comments"," | ### For Code Changes | - Never print code blocks with ""TODO"" or placeholder comments | - Use edit tools instead of showing full file dumps | - Reference specific line numbers when discussing existing code"
packages/tta-dev-primitives/CURSOR_AGENT.md,199,docs,md,# TODO: Add tests later,"❌ **BAD**: | ```python | # TODO: Add tests later | class NewFeature(WorkflowPrimitive[dict, dict]): |     ..."
packages/tta-dev-primitives/CLINE_AGENT.md,32,docs,md,"- Never print code blocks with ""TODO"" or placeholder comments"," | ### For Code Changes | - Never print code blocks with ""TODO"" or placeholder comments | - Use edit tools instead of showing full file dumps | - Reference specific line numbers when discussing existing code"
packages/tta-dev-primitives/CLINE_AGENT.md,199,docs,md,# TODO: Add tests later,"❌ **BAD**: | ```python | # TODO: Add tests later | class NewFeature(WorkflowPrimitive[dict, dict]): |     ..."
packages/tta-dev-primitives/AUGMENT_AGENT.md,32,docs,md,"- Never print code blocks with ""TODO"" or placeholder comments"," | ### For Code Changes | - Never print code blocks with ""TODO"" or placeholder comments | - Use edit tools instead of showing full file dumps | - Reference specific line numbers when discussing existing code"
packages/tta-dev-primitives/AUGMENT_AGENT.md,199,docs,md,# TODO: Add tests later,"❌ **BAD**: | ```python | # TODO: Add tests later | class NewFeature(WorkflowPrimitive[dict, dict]): |     ..."
packages/tta-dev-primitives/AGENTS.md,32,docs,md,"- Never print code blocks with ""TODO"" or placeholder comments"," | ### For Code Changes | - Never print code blocks with ""TODO"" or placeholder comments | - Use edit tools instead of showing full file dumps | - Reference specific line numbers when discussing existing code"
packages/tta-dev-primitives/AGENTS.md,199,docs,md,# TODO: Add tests later,"❌ **BAD**: | ```python | # TODO: Add tests later | class NewFeature(WorkflowPrimitive[dict, dict]): |     ..."
